sent_id,DOsentence,PDsentence,realized_construction,Particle,Remarks,Coordination_of_Theme,Coordination_of_Recipient,
48,It cost her a couple of hundred dollars.,It cost a couple of hundred dollars to her.,DO,-,,-,-,
49,It cost me twenty-five dollars.,It cost twenty-five dollars to me.,DO,-,,-,-,
50,Linda gave us the worst headaches we've ever had in our lives.,Linda gave the worst headaches we've ever had in our lives to us.,DO,-,,-,-,
51,Bob gave you an opportunity to either transfer into an ongoing project.,Bob gave an opportunity to either transfer into an ongoing project to you.,DO,-,take out either?,-,-,
52,It cost the company money.,It cost money to the company.,DO,-,,-,-,
53,Bob sent you offers and things.,Bob sent offers and things to you.,PD,-,,-,-,
54,I showed my boyfriend mine.,I showed mine to my boyfriend.,PD,-,,-,-,
55,Juan gave me a backpack.,Juan gave a backpack to me.,DO,-,,-,-,
56,John gave me a backpack.,John gave a backpack to me.,DO,-,,-,-,
57,Linda gave me a present.,Linda gave a present to me.,DO,-,,-,-,
58,Michael sent him it.,Michael sent it to him.,PD,-,,-,-,
59,John gave them about seven minutes.,John gave about seven minutes to them.,DO,-,,-,-,
60,Alice gave them full rein.,Alice gave full rein to them.,DO,-,,-,-,
61,It gave you the impression that the company really doesn't trust the people that work for them.,It gave the impression that the company really doesn't trust the people that work for them to you.,DO,-,,-,-,
62,John gave him a junkyard.,John gave a junkyard to him.,DO,-,,-,-,
63,John gave you the freedom to take care of yourself.,John gave the freedom to take care of yourself to you.,DO,-,,-,-,
64,Alice offered them money.,Alice offered money to them.,DO,-,,-,-,
65,Linda told you so much about that movie.,Linda told so much about that movie to you.,DO,-,,-,-,
66,Juan sent you a draft notice.,Juan sent a draft notice to you.,DO,-,,-,-,
67,They sent everybody they do business with a letter.,They sent a letter to everybody they do business with.,PD,-,,-,-,
68,Bob gave you a physical.,Bob gave a physical to you.,DO,-,,-,-,
69,We gave other countries aid.,We gave aid to other countries.,PD,-,,-,-,
70,Maria gave the rest of the family members physicals.,Maria gave physicals to the rest of the family members.,PD,-,,-,-,
71,Bob gave the rest of the family members physicals.,Bob gave physicals to the rest of the family members.,PD,-,,-,-,
72,Maria paid them a lot.,Maria paid a lot to them.,DO,-,,-,-,
73,Mary sold a paper manufacturing company the paper.,Mary sold the paper to a paper manufacturing company.,PD,-,,-,-,
74,Juan gave them a few minutes worth.,Juan gave a few minutes worth to them.,DO,-,,-,-,
75,Bob gave them a problem.,Bob gave a problem to them.,DO,-,,-,-,
76,It gave the honest citizen more paper work problems.,It gave more paper work problems to the honest citizen.,PD,-,,-,-,
77,Michael gave him some protection.,Michael gave some protection to him.,DO,-,,-,-,
78,It cost you five thousand dollars.,It cost five thousand dollars to you.,DO,-,,-,-,
79,It gave you relaxation.,It gave relaxation to you.,DO,-,,-,-,
80,Juan gave her the old records.,Juan gave the old records to her.,DO,-,,-,-,
81,Juan gave you a paper.,Juan gave a paper to you.,DO,-,,-,-,
82,Michael gave you a whole bunch of them pills.,Michael gave a whole bunch of them pills to you.,DO,-,,-,-,
83,Mary gave him like four pills.,Mary gave like four pills to him.,DO,-,,-,-,
84,Alice charged me more.,Alice charged more to me.,DO,-,possible adverbial,-,-,
85,Michael gave my husband some.,Michael gave some to my husband.,DO,-,,-,-,
86,Bob gave them a job.,Bob gave a job to them.,DO,-,,-,-,
87,Bob gave them something to do.,Bob gave something to do to them.,DO,-,,-,-,
88,Bob gave me a perspective on that.,Bob gave a perspective on that to me.,DO,-,,-,-,
89,Juan paid a woman eight or nine or ten thousand dollars a year.,Juan paid eight or nine or ten thousand dollars a year to a woman.,DO,-,,-,-,
90,Bob gave you a real good feeling.,Bob gave a real good feeling to you.,DO,-,,-,-,
91,Michael gave them it.,Michael gave it to them.,PD,-,,-,-,
92,Bob gave them it.,Bob gave it to them.,PD,-,,-,-,
93,Mary gave them the death penalty.,Mary gave the death penalty to them.,DO,-,,-,-,
94,We gave our own folks at home a little bit of our help.,We gave a little bit of our help to our own folks at home.,PD,-,,-,-,
95,It gave them a much broader outlook.,It gave a much broader outlook to them.,DO,-,,-,-,
96,Linda afforded the military or helping elderly people some time.,Linda afforded some time to the military or helping elderly people.,PD,-,,-,+,
97,We never gave anything a chance.,We never gave a chance to anything.,DO,-,,-,-,
98,Alice gave me a quick chance to be caught up during the day.,Alice gave a quick chance to be caught up during the day to me.,DO,-,,-,-,
99,John gave you a wide variety of things you can call and talk and find out about.,John gave a wide variety of things you can call and talk and find out about to you.,DO,-,,-,-,
100,"Juan gave you current news updates, current weather updates, things like that.","Juan gave current news updates, current weather updates, things like that to you.",DO,-,,-,-,
101,Michael showed you the words and the facts.,Michael showed the words and the facts to you.,DO,-,,-,-,
102,Mary gave you updated information.,Mary gave updated information to you.,DO,-,,-,-,
103,Juan gave them the wrong medicine.,Juan gave the wrong medicine to them.,DO,-,,-,-,
104,Maria gave somebody else them.,Maria gave them to somebody else.,PD,-,,-,-,
105,Maria gave you a clean one.,Maria gave a clean one to you.,DO,-,,-,-,
106,Linda gave me a pair of running shorts.,Linda gave a pair of running shorts to me.,DO,-,,-,-,
108,Alice gave you shirts which you use.,Alice gave shirts which you use to you.,DO,-,,-,-,
109,It cost me the same amount.,It cost the same amount to me.,DO,-,,-,-,
110,It cost me twenty-five dollars.,It cost twenty-five dollars to me.,DO,-,,-,-,
111,Mary gave charity that.,Mary gave that to charity.,PD,-,,-,-,
112,It cost the taxpayers a lot of money.,It cost a lot of money to the taxpayers.,DO,-,,-,-,
113,Maria gave them a lethal injection.,Maria gave a lethal injection to them.,DO,-,,-,-,
114,Michael gave you the chance to get into the person's mind to find out what led them to the point that they were at when they committed a crime to try to understand how their mind worked to prevent another person from getting into the same situation.,Michael gave the chance to get into the person's mind to find out what led them to the point that they were at when they committed a crime to try to understand how their mind worked to prevent another person from getting into the same situation to you.,DO,-,,-,-,
115,They gave it a good flavor.,They gave a good flavor to it.,DO,-,,-,-,
116,Linda gave them different food.,Linda gave different food to them.,DO,-,,-,-,
117,It brought you good luck or good finances.,It brought good luck or good finances to you.,DO,-,,+,-,
118,Maria gave it kind of a hickory flavor.,Maria gave kind of a hickory flavor to it.,DO,-,,-,-,
119,Bob gave the food a second try.,Bob gave a second try to the food.,DO,-,,-,-,
120,Mary gave the people a second try.,Mary gave a second try to the people.,DO,-,,-,-,
121,Michael gave it a try.,Michael gave a try to it.,DO,-,,-,-,
122,Bob charged you an extra dollar.,Bob charged an extra dollar to you.,DO,-,,-,-,
123,Linda brought you it.,Linda brought it to you.,PD,out,,-,-,
124,Juan gave him a million dollars.,Juan gave a million dollars to him.,DO,-,,-,-,
125,Alice gave him a million dollars.,Alice gave a million dollars to him.,DO,-,,-,-,
126,Juan gave him an incentive to stay around.,Juan gave an incentive to stay around to him.,DO,-,,-,-,
127,Mary gave him them.,Mary gave them to him.,PD,-,,-,-,
128,Alice gave the boys them.,Alice gave them to the boys.,PD,-,,-,-,
129,Linda gave them them.,Linda gave them to them.,PD,-,,-,-,
130,Mary sold these boys them.,Mary sold them to these boys.,PD,-,,-,-,
131,God gave us husbands and fathers to help look out for us.,God gave husbands and fathers to help look out for us to us.,DO,-,,-,-,
132,John gave the World Wildlife Foundation money.,John gave money to the World Wildlife Foundation.,PD,-,,-,-,
133,Linda showed me that.,Linda showed that to me.,DO,-,,-,-,
134,Maria gave me a plant.,Maria gave a plant to me.,DO,-,,-,-,
135,John gave me it.,John gave it to me.,PD,-,,-,-,
136,It taught young people some civil consciousness.,It taught some civil consciousness to young people.,DO,-,,-,-,
137,Michael sent me the information.,Michael sent the information to me.,DO,-,,-,-,
138,Maria mailed me the information that I filled out.,Maria mailed the information that I filled out to me.,DO,-,,-,-,
139,John gave it good drainage.,John gave good drainage to it.,DO,-,,-,-,
140,Linda gave mom and dad a little bit of rent money.,Linda gave a little bit of rent money to mom and dad.,DO,-,,-,-,
141,They gave you something that you may like worse or you may like more.,They gave something that you may like worse or you may like more to you.,DO,-,,-,-,
142,Juan paid the defendant three hundred thousand dollars or something.,Juan paid three hundred thousand dollars or something to the defendant.,DO,-,,-,-,
143,We allowed her some time to herself.,We allowed some time to herself to her.,DO,-,,-,-,
144,Bob gave my boss a hard time.,Bob gave a hard time to my boss.,DO,-,,-,-,
145,It gave them a vested interest in the government.,It gave a vested interest in the government to them.,DO,-,,-,-,
146,It gave them more of an interest in what goes on in this country.,It gave more of an interest in what goes on in this country to them.,DO,-,,-,-,
147,Linda gave her it.,Linda gave it to her.,PD,back,,-,-,
148,Maria gave the secretary some paper.,Maria gave some paper to the secretary.,PD,-,,-,-,
149,We gave them an honest decision.,We gave an honest decision to them.,DO,-,,-,-,
151,Juan brought you half a dozen tomatoes.,Juan brought half a dozen tomatoes to you.,DO,-,,-,-,
152,Alice sold them it.,Alice sold it to them.,PD,-,,-,-,
153,Michael gave you a lot more of the widest television that's available to you.,Michael gave a lot more of the widest television that's available to you to you.,DO,-,,-,-,
154,Alice paid business attention.,Alice paid attention to business.,PD,-,,-,-,
155,Alice gave me five bucks.,Alice gave five bucks to me.,DO,-,,-,-,
156,Maria gave me it.,Maria gave it to me.,PD,-,,-,-,
157,Mary gave one person it.,Mary gave it to one person.,PD,-,,-,-,
158,It cost us seventeen to eighteen thousand dollars a year.,It cost seventeen to eighteen thousand dollars a year to us.,DO,-,,-,-,
159,Alice gave you two to three years.,Alice gave two to three years to you.,DO,-,,-,-,
160,Michael gave me the topic.,Michael gave the topic to me.,DO,-,,-,-,
161,Michael paid our teachers a little bit more.,Michael paid a little bit more to our teachers.,DO,-,,-,-,
162,Michael gave this kid a little extra help.,Michael gave a little extra help to this kid.,PD,-,,-,-,
163,Alice paid them a little more money.,Alice paid a little more money to them.,DO,-,,-,-,
164,Maria wished you all the best in your future.,Maria wished all the best in your future to you.,DO,-,,-,-,
165,John gave them the world.,John gave the world to them.,DO,-,,-,-,
166,Linda gave it a try.,Linda gave a try to it.,DO,-,,-,-,
167,Linda did it justice.,Linda did justice to it.,DO,-,,-,-,
168,Mary taught them spiritual warfare.,Mary taught spiritual warfare to them.,DO,-,,-,-,
169,Juan read her those.,Juan read those to her.,PD,-,,-,-,
170,Bob owed you five bucks.,Bob owed five bucks to you.,DO,-,,-,-,
171,Linda gave you like local news.,Linda gave like local news to you.,DO,-,,-,-,
172,Alice paid those kinds of things attention.,Alice paid attention to those kinds of things.,PD,-,,-,-,
173,We loaned third world countries like Mexico Venezuela and Argentina funds.,We loaned funds to third world countries like Mexico Venezuela and Argentina.,PD,-,,-,-,
174,Alice paid this attention.,Alice paid attention to this.,PD,-,,-,-,
175,Alice gave the public the information.,Alice gave the information to the public.,PD,-,,-,-,
176,Alice gave him a lighter sentence.,Alice gave a lighter sentence to him.,DO,-,,-,-,
177,Bob gave them ninety years in prison.,Bob gave ninety years in prison to them.,DO,-,,-,-,
178,It gave the American people a sense of the fact that wars are really run by politicians.,It gave a sense of the fact that wars are really run by politicians to the American people.,DO,-,,-,-,
179,Maria gave him your coat.,Maria gave your coat to him.,DO,-,,-,-,
180,It gave kids more of an authoritarian sort of view.,It gave more of an authoritarian sort of view to kids.,DO,-,,-,-,
181,It gave them a freedom to give us something back.,It gave a freedom to give us something back to them.,DO,-,,-,-,
182,Juan owed us all this money.,Juan owed all this money to us.,DO,-,,-,-,
183,Alice never gave you anything.,Alice never gave anything to you.,DO,back,,-,-,
184,Juan gave everybody that asks it.,Juan gave it to everybody that asks.,PD,-,,-,-,
185,Mary gave a country money.,Mary gave money to a country.,DO,-,,-,-,
186,Juan gave every nation money.,Juan gave money to every nation.,PD,-,,-,-,
187,Mary loaned them money.,Mary loaned money to them.,DO,-,,-,-,
188,Alice loaned too many nations money.,Alice loaned money to too many nations.,PD,-,,-,-,
189,John owed us money.,John owed money to us.,DO,-,,-,-,
190,John gave us something.,John gave something to us.,DO,back,,-,-,
191,Linda gave them what a week.,Linda gave what a week to them.,DO,-,,-,-,
192,"Linda showed them the Independence Hall, the Liberty Bell, and Franklin Square.","Linda showed the Independence Hall, the Liberty Bell, and Franklin Square to them.",DO,-,,+,-,
193,Juan gave me time outdoors.,Juan gave time outdoors to me.,DO,-,,-,-,
194,Michael gave me time outdoors.,Michael gave time outdoors to me.,DO,-,,-,-,
195,It gave young people an appreciation for maybe what they have and what the other people don't have.,It gave an appreciation for maybe what they have and what the other people don't have to young people.,DO,-,,-,-,
196,Bob gave you a call.,Bob gave a call to you.,DO,-,,-,-,
197,Michael gave you a nickel.,Michael gave a nickel to you.,DO,-,,-,-,
198,Alice gave me a whole bag of these things.,Alice gave a whole bag of these things to me.,DO,-,,-,-,
199,Alice gave me it.,Alice gave it to me.,PD,-,,-,-,
200,Juan gave me silver dollars.,Juan gave silver dollars to me.,DO,-,,-,-,
201,They sold you something they made last night.,They sold something they made last night to you.,DO,-,,-,-,
202,They gave you good law.,They gave good law to you.,DO,-,,-,-,
203,Juan gave the government it.,Juan gave it to the government.,PD,-,,-,-,
204,Michael loaned these people who are representing the government it.,Michael loaned it to these people who are representing the government.,PD,-,,-,-,
205,Juan loaned countries money.,Juan loaned money to countries.,PD,-,,-,-,
206,Juan loaned governments money.,Juan loaned money to governments.,PD,-,,-,-,
207,I took the doctor my son.,I took my son to the doctor.,PD,-,spatial,-,-,
208,Maria gave him shots.,Maria gave shots to him.,DO,-,,-,-,
209,Alice sold nurserymen and local people who want to put it on their flowerbeds all the composts.,Alice sold all the composts to nurserymen and to local people who want to put it on their flowerbeds.,PD,-,ellipsis,-,-,
210,Michael paid this more attention.,Michael paid more attention to this.,PD,-,,-,-,
211,"Michael gave us one for aluminum and steel, one for metals, and one for glass.","Michael gave one for aluminum and steel, one for metals, and one for glass to us.",DO,-,,-,-,
212,Maria paid buffers a whole lot of attention.,Maria paid a whole lot of attention to buffers.,PD,-,,-,-,
213,Mary gave me Mist of Avalon.,Mary gave Mist of Avalon to me.,DO,-,,-,-,
214,Maria gave me one of those dinky do crappy women's novels set in the Civil War.,Maria gave one of those dinky do crappy women's novels set in the Civil War to me.,DO,-,,-,-,
215,Michael told a native Texan that.,Michael told that to a native Texan.,PD,-,,-,-,
216,Juan told my husband that.,Juan told that to my husband.,DO,-,,-,-,
217,Alice gave the students a break.,Alice gave a break to the students.,DO,-,,-,-,
218,Maria gave you a break.,Maria gave a break to you.,DO,-,,-,-,
219,Maria wished you the best.,Maria wished the best to you.,DO,-,,-,-,
220,Maria gave us a chance for peace over there.,Maria gave a chance for peace over there to us.,DO,-,,-,-,
221,We gave you Panama.,We gave Panama to you.,DO,back,,-,-,
222,Mary gave him something that would contradict himself.,Mary gave something that would contradict himself to him.,DO,-,???,-,-,
223,Maria gave them a lifetime income.,Maria gave a lifetime income to them.,DO,-,,-,-,
224,Mary gave them a lifetime thing.,Mary gave a lifetime thing to them.,DO,-,,-,-,
225,John gave them their lifetime income as a retired politician.,John gave their lifetime income as a retired politician to them.,DO,-,,-,-,
226,Bob did not give them any money.,Bob did not give any money to them.,DO,-,,-,-,
227,Michael gave the city of Flower Mound it.,Michael gave it to the city of Flower Mound.,PD,-,,-,-,
228,Mary gave them your pen number.,Mary gave your pen number to them.,DO,-,,-,-,
229,Maria gave him the ball.,Maria gave the ball to him.,DO,-,,-,-,
230,Mary taught them a little more empathy.,Mary taught a little more empathy to them.,DO,-,,-,-,
231,It gave people a sense of commitment.,It gave a sense of commitment to people.,DO,-,,-,-,
232,Juan gave me some benefit.,Juan gave some benefit to me.,DO,-,,-,-,
233,I showed my friend the fish that I caught.,I showed the fish that I caught to my friend.,DO,-,,-,-,
234,It cost everybody a lot of money.,It cost a lot of money to everybody.,DO,-,,-,-,
235,Linda took her a bedspread.,Linda took a bedspread to her.,DO,-,,-,-,
236,It cost her a thousand dollars.,It cost a thousand dollars to her.,DO,-,,-,-,
237,Juan paid them enough to keep him there and to do the things that they need to do.,Juan paid enough to keep him there and to do the things that they need to do to them.,DO,-,,-,-,
238,Bob gave the readers a good shot for you.,Bob gave a good shot to the readers for you.,DO,-,?,-,-,
239,Linda gave you information.,Linda gave information to you.,DO,-,,-,-,
240,Bob gave somebody a death sentence.,Bob gave a death sentence to somebody.,DO,-,,-,-,
241,Maria gave her life with no parole.,Maria gave life with no parole to her.,DO,-,,-,-,
242,John gave me all her extras.,John gave all her extras to me.,DO,-,,-,-,
243,Maria gave you room to get under it.,Maria gave room to get under it to you.,DO,-,,-,-,
244,It gave us a sense of staying in some semblance of control.,It gave a sense of staying in some semblance of control to us.,DO,-,,-,-,
245,We allowed ourselves some things that we couldn't before.,We allowed some things that we couldn't before to ourselves.,DO,-,,-,-,
247,Mary gave you five cents.,Mary gave five cents to you.,DO,-,,-,-,
248,Juan did not teach my kids anything.,Juan did not teach anything to my kids.,DO,-,,-,-,
249,Michael gave him a big bonus.,Michael gave a big bonus to him.,DO,-,,-,-,
250,Mary brought her a little snack and an Easter basket.,Mary brought a little snack and an Easter basket to her.,DO,-,,-,-,
251,Michael gave me your first impressions.,Michael gave your first impressions to me.,DO,-,,-,-,
252,We handed somebody a death sentence.,We handed a death sentence to somebody.,PD,down,,-,-,
253,Alice told me a little bit about your opinions on capital punishment.,Alice told a little bit about your opinions on capital punishment to me.,DO,-,,-,-,
254,Maria gave the man the death sentence.,Maria gave the death sentence to the man.,DO,-,,-,-,
255,Alice gave the man the death sentence.,Alice gave the death sentence to the man.,DO,-,,-,-,
256,Maria gave them the early parole.,Maria gave the early parole to them.,DO,-,,-,-,
257,Linda gave them the early release credits.,Linda gave the early release credits to them.,DO,-,,-,-,
258,Alice gave them the good time credits.,Alice gave the good time credits to them.,DO,-,,-,-,
259,It cost the taxpayers twenty-five thousand dollars.,It cost twenty-five thousand dollars to the taxpayers.,DO,-,,-,-,
260,Michael gave him some medication.,Michael gave some medication to him.,DO,-,,-,-,
261,Bob gave you a fifteen or ten percent discount.,Bob gave a fifteen or ten percent discount to you.,DO,-,,-,-,
262,Bob charged me a half an hour's worth of labor.,Bob charged a half an hour's worth of labor to me.,DO,-,,-,-,
263,Maria gave me a half hour minimum.,Maria gave a half hour minimum to me.,DO,-,,-,-,
264,Juan gave me a written estimate.,Juan gave a written estimate to me.,DO,-,,-,-,
265,It cost me almost six hundred almost seven hundred dollars.,It cost almost six hundred almost seven hundred dollars to me.,DO,-,,-,-,
266,Bob charged me fifteen dollars.,Bob charged fifteen dollars to me.,DO,-,,-,-,
267,Michael took an RV dealer it.,Michael took it to an RV dealer.,PD,-,,-,-,
268,Linda told you my story.,Linda told my story to you.,DO,-,,-,-,
269,Bob paid somebody twice the value of the oil and the filter.,Bob paid twice the value of the oil and the filter to somebody.,DO,-,,-,-,
270,Linda told you one thing.,Linda told one thing to you.,DO,-,,-,-,
271,Mary wrote them a two thousand dollar check.,Mary wrote a two thousand dollar check to them.,DO,-,,-,-,
272,Juan took the whole church it.,Juan took it to the whole church.,PD,-,,-,-,
273,Mary brought you a plank sort of with all this wonderful beef.,Mary brought a plank sort of with all this wonderful beef to you.,DO,-,,-,-,
274,Alice told you one thing.,Alice told one thing to you.,DO,-,,-,-,
275,Alice fed them quiche and all kinds of strange food that we would eat.,Alice fed quiche and all kinds of strange food that we would eat to them.,DO,-,,+,-,
276,Alice fed them the old people food.,Alice fed the old people food to them.,DO,-,,-,-,
277,Bob gave them all the information.,Bob gave all the information to them.,DO,-,,-,-,
278,We paid Kuwait four million dollars.,We paid four million dollars to Kuwait.,DO,-,,-,-,
280,Mary fed him so much.,Mary fed so much to him.,DO,-,,-,-,
281,They brought him their cars.,They brought their cars to him.,PD,-,,-,-,
282,They sold them their old cars.,They sold their old cars to them.,PD,-,,-,-,
283,It gave some people unfair advantage.,It gave unfair advantage to some people.,DO,-,,-,-,
284,Alice paid him too much money.,Alice paid too much money to him.,DO,-,,-,-,
285,Alice gave us one.,Alice gave one to us.,DO,-,,-,-,
286,It cost me three thousand dollars.,It cost three thousand dollars to me.,DO,-,,-,-,
287,It cost me like a hundred and fifty dollars.,It cost like a hundred and fifty dollars to me.,DO,-,,-,-,
288,"Michael taught them the alphabet, the numbers, the things which if they learn they learn.","Michael taught the alphabet, the numbers, the things which if they learn they learn to them.",DO,-,,-,-,
289,It cost me a hundred and ten dollars.,It cost a hundred and ten dollars to me.,DO,-,,-,-,
290,Mary showed you the repairs.,Mary showed the repairs to you.,DO,-,,-,-,
291,Linda gave you more allowances.,Linda gave more allowances to you.,DO,-,,-,-,
292,Linda gave her a hug.,Linda gave a hug to her.,DO,-,,-,-,
293,Linda gave her options.,Linda gave options to her.,DO,-,,-,-,
294,Juan gave you some specific goals to work towards.,Juan gave some specific goals to work towards to you.,DO,-,,-,-,
295,Maria offered us it.,Maria offered it to us.,PD,-,,-,-,
296,It cost me an arm and a leg.,It cost an arm and a leg to me.,DO,-,,-,-,
297,Mary gave her something to do that we both enjoy.,Mary gave something to do that we both enjoy to her.,DO,-,,-,-,
298,John gave her the exercise.,John gave the exercise to her.,DO,-,,-,-,
299,Bob taught me a lot of restraint.,Bob taught a lot of restraint to me.,DO,-,,-,-,
300,Mary sent you credit card applications.,Mary sent credit card applications to you.,DO,-,,-,-,
301,Mary sent me those things.,Mary sent those things to me.,PD,-,,-,-,
302,John gave them a fine.,John gave a fine to them.,DO,-,,-,-,
303,Alice gave them jobs.,Alice gave jobs to them.,DO,-,,-,-,
305,Bob gave me this crazy look.,Bob gave this crazy look to me.,DO,-,,-,-,
306,Alice gave somebody every chance.,Alice gave every chance to somebody.,DO,-,,-,-,
307,Juan gave them a refresher driving course.,Juan gave a refresher driving course to them.,DO,-,,-,-,
308,Maria gave them a test.,Maria gave a test to them.,DO,-,,-,-,
309,They gave America so much of their lives.,They gave so much of their lives to America.,PD,-,,-,-,
310,Linda gave computer students them.,Linda gave them to computer students.,PD,-,,-,-,
312,Mary gave you the best break.,Mary gave the best break to you.,DO,-,,-,-,
313,Mary sent me a small flag.,Mary sent a small flag to me.,DO,-,,-,-,
314,Mary took the pawn shops everything.,Mary took everything to the pawn shops.,PD,-,,-,-,
315,John showed me his parakeets.,John showed his parakeets to me.,DO,-,,-,-,
316,Bob gave you a ticket.,Bob gave a ticket to you.,DO,-,,-,-,
317,Mary offered them some sort of an incentive to do it.,Mary offered some sort of an incentive to do it to them.,DO,-,,-,-,
318,Alice gave them your speech and maybe even a little slide show or something.,Alice gave your speech and maybe even a little slide show or something to them.,DO,-,,-,-,
320,Juan gave it twenty-four hours.,Juan gave twenty-four hours to it.,DO,-,,-,-,
321,Bob sold you it.,Bob sold it to you.,PD,-,,-,-,
322,Maria brought my Mormon neighbors some Amish bread.,Maria brought some Amish bread to my Mormon neighbors.,DO,-,,-,-,
323,It gave you the strength.,It gave the strength to you.,DO,-,,-,-,
324,Bob gave them a bike.,Bob gave a bike to them.,DO,-,,-,-,
325,Michael gave the management that information.,Michael gave that information to the management.,PD,back,,-,-,
326,Michael gave us Monday off rather than Friday.,Michael gave Monday off rather than Friday to us.,DO,-,,-,-,
327,Michael gave you a chance to feel like you're a part of a group or the organization and that you're heard.,Michael gave a chance to feel like you're a part of a group or the organization and that you're heard to you.,DO,-,,-,-,
328,John gave us a monthly meeting.,John gave a monthly meeting to us.,DO,-,,-,-,
329,Linda did not show me anything.,Linda did not show anything to me.,DO,-,,-,-,
330,Maria gave the local school authority.,Maria gave authority to the local school.,PD,back,,-,-,
331,Linda gave me it.,Linda gave it to me.,PD,-,,-,-,
332,Alice taught them something.,Alice taught something to them.,DO,-,,-,-,
333,Alice did not pay music much attention.,Alice did not pay much attention to music.,PD,-,,-,-,
334,Mary taught your child everything they need to know.,Mary taught everything they need to know to your child.,DO,-,,-,-,
335,You taught them the way you want them to be and the things that are important to you.,You taught the way you want them to be and the things that are important to you to them.,DO,-,,+,-,
336,It gave you some relief.,It gave some relief to you.,DO,-,,-,-,
337,They sent each other files.,They sent files to each other.,PD,-,,-,-,
338,They sent each other mail messages.,They sent mail messages to each other.,PD,-,,-,-,
339,Linda gave you some idea of where I'm at.,Linda gave some idea of where I'm at to you.,DO,-,,-,-,
340,Linda paid him like sixteen million.,Linda paid like sixteen million to him.,DO,-,,-,-,
341,Bob paid him ten million dollars.,Bob paid ten million dollars to him.,DO,-,,-,-,
