Dialogue_ID,Speaker_id,method_of_speaker_annotation,Verb,Semantic_Class,Particle,Givenness_of_theme,Givenness_of_Recipient,Theme,Number_of_Theme,Person_of_Theme,Simplified_Person_of_Theme,Expression_Type_of_Theme,Person/Pronominality_of_Theme,"Person/Pronominality_of_Theme,_non-specific_you=local",Length_of_Theme_in_Graphemic_Words_(normalized),Length_of_Theme_in_Graphemic_Words,Animacy_of_Theme,Simplified_Animacy_of_Theme,simplest_animacy_of _theme,Definiteness_of_Theme,Coordination_of_Theme,Recipient,Number_of_Recipluralient,Person_of_Recipient,Simplified_Person_of_Recipient,Expression_Type_of_Recipient,Person/Pronominality_of_Recipient,"Person/Pronominality,_ns_you=local_for_Recipient",Length_of_Recipient_in_Graphemic_Words_(normalized),Length_of_Recipient_in_Graphemic_Words,Animacy_of_Recipient,Simplified_Animacy_of_Recipient,Simples_animacy_of_recipient,Definiteness_of_Recipient,Coordination_of_Recipient,Remarks,Realized_Construction
2020,1176,auto,pay,transfer,-,anch,evoked,his royalties,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,definite,-,them,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2020,1169,auto,give,abstract,-,anch,frame,the credit that is really due to them,singular,third,non-local,common,non-pronominal,non-pronominal,2+,8,non-concrete,non-concrete,inan,definite,-,the original artist or the original composer,singular,third,non-local,common,non-pronominal,non-pronominal,3+,7,human,human,human,definite,+,,NP NP.
2022,1138,auto,give,communication,back,frame,evoked,a good idea,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,us,plural,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2024,1061,hand,give,transfer,-,bn,sitev,books,plural,third,non-local,common,non-pronominal,non-pronominal,1,1,concrete,concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2024,1016,auto,give,transfer,-,evoked,sitev,hers,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,concrete,concrete,inan,definite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2025,1061,auto,give,abstract,-,gen,sitev,a break,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2025,1064,auto,cost,prevention of possession,-,frame,unused,a fortune,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,the taxpayers,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,human,human,human,definite,-,,NP NP.
2032,1093,auto,give,communication,-,gen,sitev,some examples,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2032,1167,auto,give,abstract,-,gen,evoked,thumbs down,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,it,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,non-concrete,non-concrete,inan,definite,-,,NP NP.
2035,1107,auto,teach,communication,-,anch,evoked,as much as we can,singular,third,non-local,quantifier,non-pronominal,non-pronominal,2+,5,non-concrete,non-concrete,inan,indefinite,-,our kids,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,human,human,human,definite,-,,NP NP.
2038,1039,auto,offer,abstract,-,bn,evoked,a commission as a captain,singular,third,non-local,common,non-pronominal,non-pronominal,2+,5,non-concrete,non-concrete,inan,indefinite,-,him,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2038,1039,auto,give,abstract,-,gen,evoked,a free election,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2038,1039,auto,offer,future transfer,-,gen,sitev,a thousand dollars,plural,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2041,1110,auto,give,abstract,-,gen,sitev,full exercise,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2045,1033,auto,cost,prevention of possession,-,bn,sitev,about eight dollars,plural,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2045,1033,hand,give,transfer,-,evoked,evoked,them,plural,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,concrete,concrete,inan,definite,-,him,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,human,human,human,definite,-,,NP_PP.
2045,0,hand,give,transfer,-,evoked,evoked,them,plural,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,concrete,concrete,inan,definite,-,him,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,human,human,human,definite,-,,NP_PP.
2050,1102,auto,give,abstract,-,gen,frame,a hard time,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,all the ladies,plural,third,non-local,common,non-pronominal,non-pronominal,3,3,human,human,human,definite,-,false start - everybody,NP NP.
2050,1102,auto,give,abstract,-,bn,evoked,a little more business type atmosphere,singular,third,non-local,common,non-pronominal,non-pronominal,3+,6,non-concrete,non-concrete,inan,indefinite,-,it,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,place,non-concrete,inan,definite,-,,NP NP.
2051,1051,auto,flip,abstract,-,gen,sitev,the finger,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,definite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2053,1013,auto,give,transfer,-,evoked,evoked,it,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,concrete,concrete,inan,definite,-,her,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,human,human,human,definite,-,,NP_PP.
2056,1033,auto,give,abstract,-,bn,coin,a hug,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,the girl,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,human,human,human,definite,-,,NP NP.
2057,1179,auto,give,abstract,-,unused,evoked,a chance to relax,singular,third,non-local,common,non-pronominal,non-pronominal,2+,4,non-concrete,non-concrete,inan,indefinite,-,your stomach,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,concrete,concrete,inan,definite,-,,NP NP.
2057,1179,auto,give,abstract,-,frame,sitev,all the nutrients and vitamins,plural,third,non-local,common,non-pronominal,non-pronominal,3+,5,non-concrete,non-concrete,inan,definite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2061,1167,auto,give,abstract,-,bn,evoked,like a scholarship,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,him,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2062,1085,auto,give,abstract,-,frame,sitev,a little spending money,singular,third,non-local,common,non-pronominal,non-pronominal,3+,4,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2062,1085,auto,give,abstract,-,gen,sitev,one day,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,time,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2062,1085,auto,show,communication,-,frame,evoked,the numbers,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,definite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2065,1140,auto,give,abstract,-,gen,evoked,a great deal of thought,singular,third,non-local,common,non-pronominal,non-pronominal,3+,5,non-concrete,non-concrete,inan,indefinite,-,it,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,non-concrete,non-concrete,inan,definite,-,,NP NP.
2065,1064,auto,take,transfer,-,evoked,gen,them,plural,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,human,human,human,definite,-,another country,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,place,non-concrete,inan,indefinite,-,"spatial,_suspected_transcription_error_(then)",NP_PP.
2067,1107,auto,send,transfer,-,gen,sitev,a credit card,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,concrete,concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2067,1107,hand,give,transfer,-,gen,sitev,a credit card,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,concrete,concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2067,1123,hand,give,transfer,-,gen,sitev,card,singular,third,non-local,common,non-pronominal,non-pronominal,1,1,concrete,concrete,inan,?,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,determiner/number mismatch,NP NP.
2067,1107,auto,cost,prevention of possession,-,gen,sitev,more money,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,yourself,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2071,1013,auto,cost,prevention of possession,-,bn-anch,evoked,money that we didn't feel like we should have had to pay,singular,third,non-local,common,non-pronominal,non-pronominal,1+,12,non-concrete,non-concrete,inan,indefinite,-,us,plural,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2072,1042,auto,give,abstract,-,gen,sitev,some space for yourself,singular,third,non-local,common,non-pronominal,non-pronominal,2+,4,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2072,1042,auto,give,abstract,-,gen,sitev,something that I can create,singular,third,non-local,impersonal pronoun,non-pronominal,non-pronominal,1+,5,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2078,1071,auto,tell,communication,-,gen,sitev,the truth,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,definite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2082,1055,auto,cost,prevention of possession,-,bn,evoked,a couple of hundred dollars,plural,third,non-local,partitive,non-pronominal,non-pronominal,3+,5,non-concrete,non-concrete,inan,indefinite,-,her,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2082,1055,auto,cost,prevention of possession,-,bn,sitev,twenty-five dollars,plural,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2083,1018,hand,give,abstract,-,bn-anch,evoked,the worst headaches we've ever had in our lives,plural,third,non-local,common,non-pronominal,non-pronominal,3+,9,non-concrete,non-concrete,inan,definite,-,us,plural,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2085,1051,hand,give,abstract,-,gen,sitev,an opportunity to either transfer into an ongoing project,singular,third,non-local,common,non-pronominal,non-pronominal,2+,9,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2085,1051,auto,cost,prevention of possession,-,gen,gen,money,singular,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,the company,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,organization,non-human animate,non-human animate,definite,-,,NP NP.
2089,1147,auto,send,transfer,-,gen,sitev,offers and things,plural,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,you,singular,second_-_non-specific,non-local,personal_pronoun,non-local_personal_pronoun,local_personal_pronoun,1,1,human,human,human,definite,-,,NP_PP.
2090,1074,auto,show,communication,-,coin,anch,mine,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,concrete,concrete,inan,definite,-,my boyfriend,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,human,human,human,definite,-,,NP_PP.
2092,1167,hand,give,transfer,-,gen,sitev,a backpack,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,concrete,concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2092,1167,hand,give,transfer,-,coin,sitev,a backpack,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,concrete,concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2092,1167,auto,give,transfer,-,gen,sitev,a present,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,concrete,concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2092,1069,auto,send,transfer,-,evoked,evoked,it,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,concrete,concrete,inan,definite,-,him,singular,third,non-local,personal_pronoun,non-local_personal_pronoun,non-local_personal_pronoun,1,1,human,human,human,definite,-,,NP_PP.
2094,1056,auto,give,abstract,-,sitev,evoked,about seven minutes,plural,third,non-local,common,non-pronominal,non-pronominal,3,3,time,non-concrete,inan,indefinite,-,them,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,organization,non-human animate,non-human animate,definite,-,,NP NP.
2096,1139,auto,give,abstract,-,gen,evoked,full rein,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,organization,non-human animate,non-human animate,definite,-,,NP NP.
2096,1139,auto,give,abstract,-,bn,sitev,the impression that the company really doesn't trust the people that work for them,singular,third,non-local,common,non-pronominal,non-pronominal,2+,11,non-concrete,non-concrete,inan,definite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2102,1056,auto,give,abstract,-,gen,evoked,a junkyard,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,place,non-concrete,inan,indefinite,-,him,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2104,1013,auto,give,abstract,-,gen,sitev,the freedom to take care of yourself,singular,third,non-local,common,non-pronominal,non-pronominal,2+,7,non-concrete,non-concrete,inan,definite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2105,1000,auto,offer,future transfer,-,gen,evoked,money,singular,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2109,1076,auto,tell,communication,-,anch,sitev,so much about that movie,singular,third,non-local,quantifier,non-pronominal,non-pronominal,2+,5,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - specific,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2110,1174,auto,send,transfer,-,gen,sitev,a draft notice,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,concrete,concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2110,1174,auto,send,transfer,-,bn,anch,a letter,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,concrete,concrete,inan,indefinite,-,everybody they do business with,singular,third,non-local,impersonal_pronoun,non-pronominal,non-pronominal,1+,5,human,human,human,definite,-,discontinuous_theme,NP_PP.
2110,1174,auto,give,abstract,-,gen,sitev,a physical,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2110,1174,auto,give,transfer,-,gen,gen,aid,singular,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,other countries,plural,third,non-local,common,non-pronominal,non-pronominal,2,2,organization,non-human_animate,non-human_animate,indefinite,-,,NP_PP.
2110,1017,hand,give,abstract,-,gen,anch,physicals,plural,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,the rest of the family members,plural,third,non-local,partitive,non-pronominal,non-pronominal,3+,6,human,human,human,definite,-,,NP_PP.
2110,1017,hand,give,abstract,-,gen,anch,physicals,plural,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,the rest of the family members,plural,third,non-local,partitive,non-pronominal,non-pronominal,3+,6,human,human,human,definite,-,,NP_PP.
2111,1106,hand,pay,transfer,-,coin,evoked,a lot,singular,third,non-local,quantifier,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2111,1055,auto,sell,transfer,-,evoked,bn,the paper,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,concrete,concrete,inan,definite,-,a paper manufacturing company,singular,third,non-local,common,non-pronominal,non-pronominal,3+,4,organization,non-human_animate,non-human_animate,indefinite,-,,NP_PP.
2114,1025,auto,give,abstract,-,sitev,evoked,a few minutes worth,singular,third,non-local,common,non-pronominal,non-pronominal,3+,4,non-concrete,non-concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,organization,non-human animate,non-human animate,definite,-,,NP NP.
2114,1025,auto,give,abstract,-,gen,evoked,a problem,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,organization,non-human animate,non-human animate,definite,-,,NP NP.
2114,1025,auto,give,abstract,-,gen,gen,more paper work problems,plural,third,non-local,common,non-pronominal,non-pronominal,3+,4,non-concrete,non-concrete,inan,indefinite,-,the honest citizen,singular,third,non-local,common,non-pronominal,non-pronominal,3,3,human,human,human,definite,-,,NP_PP.
2116,1128,auto,give,abstract,-,gen,evoked,some protection,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,him,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2122,1167,auto,cost,prevention of possession,-,gen,sitev,five thousand dollars,plural,third,non-local,common,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2131,1126,auto,give,abstract,-,gen,sitev,relaxation,singular,third,non-local,common,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2131,1128,auto,give,transfer,-,frame,evoked,the old records,plural,third,non-local,common,non-pronominal,non-pronominal,3,3,concrete,concrete,inan,definite,-,her,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2136,1120,auto,give,transfer,-,bn,sitev,a paper,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,concrete,concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2136,1175,auto,give,transfer,-,frame,sitev,a whole bunch of them pills,plural,third,non-local,common,non-pronominal,non-pronominal,3+,6,concrete,concrete,inan,indefinite,-,you,singular,second - non-specific,non-local,personal pronoun,non-local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2136,1175,auto,give,transfer,-,coin,evoked,like four pills,plural,third,non-local,common,non-pronominal,non-pronominal,3,3,concrete,concrete,inan,indefinite,-,him,singular,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2136,1175,hand,charge,prevention of possession,-,gen,sitev,more,singular,third,non-local,quantifier,non-pronominal,non-pronominal,1,1,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,possible adverbial,NP NP.
2136,1175,auto,give,transfer,-,coin,evoked,some,plural,third,non-local,quantifier,non-pronominal,non-pronominal,1,1,concrete,concrete,inan,indefinite,-,my husband,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,human,human,human,definite,-,,NP NP.
2137,1039,auto,give,abstract,-,gen,evoked,a job,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,non-concrete,non-concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2137,1089,auto,give,abstract,-,gen,evoked,something to do,singular,third,non-local,impersonal pronoun,non-pronominal,non-pronominal,3,3,non-concrete,non-concrete,inan,indefinite,-,them,plural,third,non-local,personal pronoun,non-local personal pronoun,non-local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2145,1119,auto,give,abstract,-,anch,sitev,a perspective on that,singular,third,non-local,common,non-pronominal,non-pronominal,2+,4,non-concrete,non-concrete,inan,indefinite,-,me,singular,first - exclusive,local,personal pronoun,local personal pronoun,local personal pronoun,1,1,human,human,human,definite,-,,NP NP.
2145,1119,auto,pay,transfer,-,gen,gen,eight or nine or ten thousand dollars a year,plural,third,non-local,common,non-pronominal,non-pronominal,3+,9,non-concrete,non-concrete,inan,indefinite,-,a woman,singular,third,non-local,common,non-pronominal,non-pronominal,2,2,human,human,human,indefinite,-,,NP NP.
